epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6915,0.41041,0.31663,0.93839,0.85052,0.88622,0.92537,0.69152,0.84412,0.55299,1.35322,0.00025823,0.00025823,0.00025823
2,39.0717,0.42102,0.31761,0.94176,0.84308,0.91002,0.91821,0.67952,0.8675,0.57102,1.36176,0.000498813,0.000498813,0.000498813
3,50.2729,0.43782,0.32446,0.94258,0.82179,0.86006,0.90138,0.67288,0.84569,0.56463,1.31496,0.000713006,0.000713006,0.000713006
4,61.3703,0.45832,0.33722,0.94829,0.81635,0.89718,0.90085,0.66425,0.85044,0.54383,1.34852,0.000709299,0.000709299,0.000709299
5,72.576,0.46125,0.34296,0.9495,0.81463,0.89181,0.90972,0.66272,0.85269,0.55373,1.3417,0.000668066,0.000668066,0.000668066
6,83.7649,0.48334,0.35447,0.97292,0.88967,0.87904,0.9285,0.67333,0.85755,0.53893,1.35114,0.000626832,0.000626832,0.000626832
7,94.9035,0.4841,0.35742,0.96413,0.84261,0.91123,0.92875,0.68801,0.85893,0.56142,1.33617,0.000585599,0.000585599,0.000585599
8,106.099,0.46989,0.35274,0.96723,0.81993,0.92182,0.92451,0.69444,0.84993,0.54213,1.30804,0.000544365,0.000544365,0.000544365
9,117.336,0.47621,0.3518,0.97036,0.84705,0.90027,0.91443,0.66744,0.83259,0.54906,1.31632,0.000503132,0.000503132,0.000503132
10,128.533,0.49686,0.36919,0.98347,0.83581,0.90414,0.92641,0.6849,0.85439,0.56966,1.30634,0.000461898,0.000461898,0.000461898
11,155.472,0.49107,0.36076,0.97632,0.86568,0.90112,0.94038,0.69505,0.83564,0.52975,1.3125,0.000420665,0.000420665,0.000420665
12,166.644,0.4967,0.35656,0.98375,0.83061,0.91428,0.91806,0.68101,0.83407,0.52642,1.33102,0.000379431,0.000379431,0.000379431
13,177.851,0.51787,0.36113,1.00119,0.87876,0.89113,0.92418,0.69489,0.83891,0.52179,1.31497,0.000338198,0.000338198,0.000338198
14,189.062,0.52159,0.36327,0.99642,0.84125,0.92135,0.918,0.69265,0.83187,0.52081,1.30975,0.000296964,0.000296964,0.000296964
15,200.144,0.51986,0.36265,0.99443,0.83463,0.878,0.90899,0.6842,0.81341,0.53296,1.28244,0.000255731,0.000255731,0.000255731
16,211.218,0.52172,0.36598,0.9922,0.88016,0.86622,0.91928,0.69856,0.81367,0.52461,1.28182,0.000214497,0.000214497,0.000214497
17,222.338,0.55333,0.36063,1.0043,0.82893,0.90955,0.9312,0.70134,0.80656,0.50569,1.2796,0.000173264,0.000173264,0.000173264
18,233.444,0.54247,0.37128,1.00528,0.8387,0.89902,0.91512,0.68836,0.80707,0.48962,1.28493,0.000132031,0.000132031,0.000132031
19,244.642,0.54265,0.35818,1.00403,0.87347,0.88028,0.91892,0.69052,0.81536,0.49439,1.28878,9.0797e-05,9.0797e-05,9.0797e-05
20,255.846,0.53076,0.34883,0.99103,0.8465,0.89943,0.91794,0.68765,0.81492,0.49764,1.2862,4.95635e-05,4.95635e-05,4.95635e-05
