epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4876,1.32511,2.7734,1.41293,0.85627,0.40788,0.44605,0.29462,1.23247,1.69307,1.26494,0.000270725,0.000270725,0.000270725
2,92.6988,1.0949,1.21587,1.20251,0.6887,0.78886,0.78588,0.47966,1.08477,1.0281,1.24239,0.000540636,0.000540636,0.000540636
3,140.529,1.06883,1.00985,1.17665,0.68089,0.77171,0.84091,0.50131,1.17236,1.07781,1.2493,0.000802693,0.000802693,0.000802693
4,185.245,1.03275,0.86948,1.15806,0.77902,0.75945,0.84475,0.47723,1.14758,1.28218,1.25581,0.000797657,0.000797657,0.000797657
5,221.807,0.99482,0.83539,1.13249,0.79766,0.68791,0.78401,0.46234,1.11784,0.97751,1.2259,0.000785876,0.000785876,0.000785876
6,260.731,0.99501,0.8137,1.14185,0.77555,0.8401,0.88551,0.5571,1.01248,0.78416,1.1334,0.000774095,0.000774095,0.000774095
7,304.019,0.96672,0.77921,1.12206,0.83873,0.84589,0.86911,0.5635,1.02075,0.7451,1.14204,0.000762314,0.000762314,0.000762314
8,344.818,0.93416,0.7408,1.09611,0.77282,0.88957,0.88367,0.58326,0.98177,0.73354,1.1447,0.000750533,0.000750533,0.000750533
9,395.039,0.93965,0.71386,1.11489,0.78124,0.87319,0.87085,0.54721,1.00607,0.76968,1.1283,0.000738752,0.000738752,0.000738752
10,434.765,0.90254,0.6932,1.0862,0.84945,0.82256,0.87446,0.56374,0.95061,0.70496,1.09706,0.000726971,0.000726971,0.000726971
11,470.38,0.89017,0.69837,1.07332,0.84512,0.86944,0.88996,0.60835,0.94184,0.71287,1.09777,0.00071519,0.00071519,0.00071519
12,509.329,0.89017,0.67517,1.07489,0.81323,0.89278,0.90381,0.58943,0.95919,0.73099,1.10666,0.000703409,0.000703409,0.000703409
13,547.767,0.86843,0.65992,1.06606,0.80298,0.86287,0.88853,0.60529,0.92986,0.69328,1.08192,0.000691628,0.000691628,0.000691628
14,591.431,0.8868,0.68305,1.07823,0.80507,0.84238,0.89659,0.61284,0.91089,0.69766,1.0783,0.000679847,0.000679847,0.000679847
15,626.53,0.84265,0.648,1.0476,0.85974,0.85462,0.89931,0.60128,0.91281,0.66328,1.07268,0.000668066,0.000668066,0.000668066
