epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.63008,2.67246,7.3782,2.37037,0.12539,0.17143,0.0959,0.03773,2.6872,4.34266,2.51646,1.111e-05,1.111e-05,1.111e-05
2,9.52241,2.54814,6.90072,2.17735,0.21427,0.17085,0.1163,0.03749,2.75624,4.29553,2.58848,3.3e-05,3.3e-05,3.3e-05
3,11.3897,2.58322,7.97296,2.18338,0.10982,0.22143,0.11063,0.04629,2.7703,4.33998,2.62261,5.44501e-05,5.44501e-05,5.44501e-05
4,13.1747,2.59174,8.01337,2.34166,0.178,0.24286,0.2071,0.11509,2.41006,3.70148,2.38519,7.54602e-05,7.54602e-05,7.54602e-05
5,15.3969,2.33739,6.29565,2.08745,0.46897,0.32857,0.20643,0.07926,2.00783,3.6299,2.03058,9.60304e-05,9.60304e-05,9.60304e-05
6,17.4943,2.36052,6.51526,2.25174,0.80752,0.17447,0.25607,0.0992,1.92002,3.22886,1.94579,0.000116161,0.000116161,0.000116161
7,19.4968,2.05227,4.27969,1.83112,0.48822,0.3987,0.39623,0.18495,1.69276,2.93545,1.77696,0.000135851,0.000135851,0.000135851
8,21.5254,1.77917,3.53451,1.62298,0.4982,0.49881,0.48718,0.25925,1.51754,3.75236,1.64419,0.000155101,0.000155101,0.000155101
9,23.5703,1.57755,3.38763,1.50758,0.68201,0.53279,0.62768,0.33132,1.62301,2.45006,1.59043,0.000173911,0.000173911,0.000173911
10,25.665,1.6064,2.65548,1.43679,0.5803,0.5619,0.62601,0.31496,1.69736,2.17664,1.61944,0.000192282,0.000192282,0.000192282
11,27.6494,1.59263,2.24157,1.42694,0.44656,0.87482,0.71045,0.32646,1.72041,1.94251,1.66914,0.000210212,0.000210212,0.000210212
12,30.1403,1.58309,2.48901,1.43279,0.6044,0.56712,0.67632,0.33512,1.73503,1.7854,1.73076,0.000227703,0.000227703,0.000227703
13,32.1327,1.43266,2.14918,1.3085,0.75233,0.79014,0.79734,0.42597,1.55505,1.848,1.61097,0.000244753,0.000244753,0.000244753
14,34.1824,1.38429,1.86606,1.29583,0.61733,0.72141,0.7235,0.33144,1.6813,1.81874,1.71123,0.000261364,0.000261364,0.000261364
15,36.169,1.38377,1.76931,1.29766,0.66324,0.57619,0.67728,0.27741,1.6882,1.9105,1.68414,0.000277534,0.000277534,0.000277534
16,38.1867,1.4771,1.88494,1.39953,0.51923,0.51656,0.6307,0.24193,1.84363,1.95796,1.86161,0.000293265,0.000293265,0.000293265
17,40.1761,1.44207,1.64175,1.32017,0.50862,0.5619,0.48407,0.2059,1.86985,1.85245,1.92984,0.000308556,0.000308556,0.000308556
18,42.1644,1.31058,1.53004,1.27086,0.24365,0.5119,0.4501,0.15565,2.09019,2.19676,2.06086,0.000323407,0.000323407,0.000323407
19,44.104,1.36418,1.48439,1.28878,0.78065,0.61845,0.64355,0.26273,2.05994,1.80918,2.02068,0.000337817,0.000337817,0.000337817
20,46.0986,1.2481,1.35914,1.22459,0.74421,0.70282,0.70481,0.3012,1.94237,1.65857,1.97757,0.000351788,0.000351788,0.000351788
21,48.0633,1.24394,1.35955,1.28674,0.854,0.57957,0.70932,0.33239,1.95563,1.70774,2.02876,0.000365319,0.000365319,0.000365319
22,50.0214,1.34139,1.3877,1.30561,0.74973,0.61919,0.56402,0.22676,1.99531,1.83886,2.04467,0.00037841,0.00037841,0.00037841
23,52.0112,1.17177,1.23065,1.19528,0.68437,0.59973,0.6366,0.22615,2.21807,1.63985,2.31103,0.000391061,0.000391061,0.000391061
24,54.0064,1.21987,1.21485,1.27904,0.70864,0.72338,0.70391,0.31538,1.94224,1.63937,1.98592,0.000403272,0.000403272,0.000403272
25,55.9551,1.24021,1.10525,1.21126,0.4748,0.487,0.48046,0.22732,2.32638,2.06436,2.30508,0.000415043,0.000415043,0.000415043
26,57.9358,1.16317,1.09678,1.17844,0.77863,0.71429,0.60964,0.31139,1.95215,1.67873,2.01796,0.000426374,0.000426374,0.000426374
27,59.8784,1.19151,1.09373,1.247,0.76704,0.68658,0.68817,0.4215,1.54005,1.58372,1.71787,0.000437265,0.000437265,0.000437265
28,61.8596,1.17208,1.13613,1.23485,0.74989,0.69208,0.64434,0.36983,1.57456,1.67048,1.65546,0.000447716,0.000447716,0.000447716
29,63.7606,1.13156,1.14696,1.19293,0.77371,0.66053,0.59386,0.35136,1.63371,1.9453,1.60325,0.000457728,0.000457728,0.000457728
30,65.7343,1.25705,1.10171,1.24882,0.81336,0.67857,0.6607,0.36748,1.59333,1.7004,1.65949,0.000467299,0.000467299,0.000467299
31,67.693,1.21884,1.05739,1.22916,0.78152,0.55714,0.54928,0.32996,1.62814,2.02325,1.75205,0.00047643,0.00047643,0.00047643
32,69.6413,1.25247,1.08287,1.26554,0.8156,0.46717,0.63448,0.38348,1.53809,1.95321,1.66678,0.000485121,0.000485121,0.000485121
33,71.5645,1.26551,1.11449,1.25492,0.73022,0.4489,0.5705,0.34545,1.5418,1.9033,1.73341,0.000493373,0.000493373,0.000493373
34,73.5188,1.20777,1.09701,1.22522,0.80744,0.45768,0.58571,0.34401,1.61545,1.7415,1.83041,0.000501184,0.000501184,0.000501184
