epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.954,0.50364,0.37266,0.90927,0.87298,0.8914,0.94236,0.68901,0.78949,0.49086,1.03347,0.000270725,0.000270725,0.000270725
2,40.5948,0.56036,0.39335,0.92985,0.89266,0.88763,0.95518,0.68258,0.79543,0.49755,1.03133,0.000521246,0.000521246,0.000521246
3,49.8899,0.55441,0.40088,0.92109,0.89552,0.88544,0.94898,0.68593,0.78719,0.52088,1.03257,0.000744279,0.000744279,0.000744279
4,58.4966,0.55477,0.39514,0.92992,0.88022,0.88438,0.93611,0.67994,0.78366,0.52643,1.03204,0.000709299,0.000709299,0.000709299
5,67.372,0.55338,0.40102,0.92072,0.89828,0.88034,0.94904,0.68464,0.79558,0.52214,1.04275,0.000668066,0.000668066,0.000668066
6,76.3601,0.55826,0.39415,0.93329,0.89276,0.87137,0.93696,0.68035,0.78371,0.51359,1.03897,0.000626832,0.000626832,0.000626832
7,84.5051,0.54952,0.40266,0.92474,0.8782,0.87344,0.93237,0.67556,0.78282,0.50994,1.03969,0.000585599,0.000585599,0.000585599
8,92.5044,0.53268,0.38269,0.91401,0.89618,0.87562,0.94472,0.67036,0.78308,0.5049,1.04249,0.000544365,0.000544365,0.000544365
9,100.63,0.54392,0.38437,0.92642,0.89912,0.87316,0.95068,0.6711,0.77765,0.50777,1.03964,0.000503132,0.000503132,0.000503132
10,108.891,0.53228,0.3762,0.91801,0.89751,0.88386,0.93984,0.67613,0.77044,0.50096,1.03682,0.000461898,0.000461898,0.000461898
11,139.982,0.52612,0.35349,0.91133,0.88922,0.86883,0.92448,0.67426,0.78554,0.51017,1.05301,0.000420665,0.000420665,0.000420665
12,148.152,0.51874,0.35859,0.9035,0.8833,0.85682,0.93285,0.68232,0.78286,0.49681,1.05045,0.000379431,0.000379431,0.000379431
13,156.015,0.5223,0.35566,0.91115,0.90202,0.8646,0.93392,0.68953,0.78862,0.50312,1.04856,0.000338198,0.000338198,0.000338198
14,164.14,0.51757,0.35758,0.91179,0.89819,0.8779,0.9394,0.68705,0.7873,0.50595,1.05131,0.000296964,0.000296964,0.000296964
15,172.049,0.51396,0.34859,0.90434,0.89331,0.87425,0.93562,0.68245,0.80027,0.50966,1.05456,0.000255731,0.000255731,0.000255731
16,180.288,0.50446,0.34272,0.91219,0.89103,0.86805,0.93793,0.6862,0.77649,0.49937,1.04196,0.000214497,0.000214497,0.000214497
17,188.323,0.52351,0.3581,0.91267,0.8853,0.87144,0.93827,0.69044,0.77229,0.49492,1.03876,0.000173264,0.000173264,0.000173264
18,196.282,0.51555,0.34781,0.90661,0.88461,0.87345,0.93682,0.68559,0.76482,0.49465,1.03414,0.000132031,0.000132031,0.000132031
19,204.381,0.52968,0.34549,0.91709,0.89283,0.8721,0.93896,0.68963,0.76275,0.49082,1.03332,9.0797e-05,9.0797e-05,9.0797e-05
20,212.41,0.52034,0.34649,0.91466,0.88522,0.87162,0.939,0.69146,0.76668,0.49488,1.03571,4.95635e-05,4.95635e-05,4.95635e-05
